"id","account_id","name","manufacturer_id","status_id","category_id","installation_count","created_at","updated_at"
1149,46,"abrt-tui",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1150,46,"accountsservice-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1151,46,"adcli",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1152,46,"adwaita-cursor-theme",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1153,46,"adwaita-gtk2-theme",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1154,46,"adwaita-icon-theme",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1155,46,"aic94xx-firmware",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1156,46,"alsa-firmware",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1157,46,"alsa-lib",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1158,46,"alsa-plugins-pulseaudio",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1159,46,"alsa-tools-firmware",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1160,46,"anaconda",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1161,46,"anaconda-core",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1162,46,"anaconda-gui",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1163,46,"anaconda-tui",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1164,46,"anaconda-widgets",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1165,46,"appstream-data",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1166,46,"at-spi2-atk",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1167,46,"atk",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1168,46,"atkmm",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1169,46,"attr",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1170,46,"audit",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1171,46,"audit-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1172,46,"audit-libs-python",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1173,46,"augeas-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1174,46,"authconfig",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1175,46,"autocorr-en",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1176,46,"autofs",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1177,46,"autogen-libopts",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1178,46,"avahi",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1179,46,"avahi-glib",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1180,46,"avahi-gobject",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1181,46,"avahi-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1182,46,"avahi-ui-gtk3",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1183,46,"basesystem",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1184,46,"bind-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1185,46,"bind-libs-lite",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1186,46,"bind-license",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1187,46,"bind-utils",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1188,46,"biosdevname",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1189,46,"blktrace",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1190,46,"boost-date-time",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1191,46,"boost-iostreams",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1192,46,"boost-signals",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1193,46,"boost-system",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1194,46,"boost-thread",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1195,46,"brasero-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1196,46,"brasero-nautilus",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1197,46,"bridge-utils",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1198,46,"brlapi",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1199,46,"btrfs-progs",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1200,46,"bzip2-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1201,46,"c-ares",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1202,46,"cairo",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1203,46,"cairo-gobject",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1204,46,"cairomm",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:55"
1205,46,"caribou",NULL,NULL,NULL,1,"2017-12-04 15:13:55","2017-12-04 15:13:56"
1206,46,"caribou-gtk2-module",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1207,46,"caribou-gtk3-module",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1208,46,"cdparanoia",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1209,46,"cdparanoia-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1210,46,"cdrdao",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1211,46,"celt051",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1212,46,"centos-indexhtml",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1213,46,"centos-logos",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1214,46,"centos-release",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1215,46,"certmonger",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1216,46,"cgdcbxd",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1217,46,"check",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1218,46,"checkpolicy",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1219,46,"cheese",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1220,46,"cheese-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1221,46,"chkconfig",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1222,46,"chrony",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1223,46,"cifs-utils",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1224,46,"cjkuni-uming-fonts",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1225,46,"clucene-contribs-lib",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1226,46,"clucene-core",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1227,46,"clutter",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1228,46,"clutter-gst2",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1229,46,"clutter-gtk",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1230,46,"cogl",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1231,46,"color-filesystem",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1232,46,"colord-gtk",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1233,46,"colord-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1234,46,"compat-libcogl-pango12",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1235,46,"compat-libcogl12",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1236,46,"compat-libcolord1",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1237,46,"control-center",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1238,46,"control-center-filesystem",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1239,46,"copy-jdk-configs",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1240,46,"cracklib",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1241,46,"cracklib-dicts",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1242,46,"crda",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1243,46,"createrepo",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1244,46,"cronie",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1245,46,"cronie-anacron",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1246,46,"crontabs",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1247,46,"cryptsetup",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1248,46,"cryptsetup-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1249,46,"cryptsetup-python",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1250,46,"cups-filesystem",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1251,46,"cups-filters-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1252,46,"cups-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1253,46,"cups-pk-helper",NULL,NULL,NULL,1,"2017-12-04 15:13:56","2017-12-04 15:13:56"
1254,46,"curl",NULL,NULL,NULL,1,"2017-12-04 15:13:57","2017-12-04 15:13:57"
1255,46,"cyrus-sasl-gssapi",NULL,NULL,NULL,1,"2017-12-04 15:13:57","2017-12-04 15:13:57"
1256,46,"cyrus-sasl-lib",NULL,NULL,NULL,1,"2017-12-04 15:13:57","2017-12-04 15:13:57"
